,mean_score,best_score,iteration
0,8453.333333333334,12060,0
1,8922.333333333334,13440,1
2,9411.666666666666,13440,2
3,9827.333333333334,14520,3
4,10197.333333333334,14520,4
5,10496.666666666666,15420,5
6,10951.666666666666,15420,6
7,11241.0,17380,7
8,11578.666666666666,17380,8
9,11882.0,17380,9
10,12109.0,17380,10
11,12482.666666666666,17380,11
12,12809.666666666666,17380,12
13,13198.333333333334,17460,13
14,13656.333333333334,17460,14
15,13954.333333333334,17460,15
16,14293.666666666666,17460,16
17,14434.0,17460,17
18,14694.0,17460,18
19,14887.333333333334,18160,19
20,15042.333333333334,18160,20
21,15133.0,18160,21
22,15236.0,18380,22
23,15565.0,18500,23
24,15866.666666666666,18500,24
25,16099.333333333334,18500,25
26,16267.0,18960,26
27,16487.666666666668,19080,27
28,16826.666666666668,20480,28
29,17060.666666666668,20480,29
30,17310.333333333332,20480,30
31,17614.333333333332,20480,31
32,17880.666666666668,21960,32
33,18103.333333333332,21960,33
34,18295.666666666668,21960,34
35,18654.666666666668,24420,35
36,18821.333333333332,24420,36
37,18984.666666666668,24420,37
38,19294.333333333332,23500,38
39,19559.333333333332,24300,39
40,19786.333333333332,24300,40
41,20229.333333333332,24300,41
42,20356.0,24800,42
43,20588.666666666668,25420,43
44,20793.0,25420,44
45,21240.0,25420,45
46,21497.666666666668,25420,46
47,21845.0,25420,47
48,22189.333333333332,25420,48
49,22423.666666666668,25160,49
50,22703.333333333332,25160,50
51,23081.333333333332,26040,51
52,23265.333333333332,26040,52
53,23391.333333333332,26040,53
54,23635.333333333332,26040,54
55,23946.0,27280,55
56,24356.666666666668,29960,56
57,24530.333333333332,28140,57
58,24804.666666666668,28140,58
59,25093.333333333332,28140,59
60,25451.666666666668,28640,60
61,25717.666666666668,28760,61
62,25954.333333333332,29240,62
63,26257.0,30500,63
64,26568.666666666668,30500,64
65,26791.333333333332,30500,65
66,27247.666666666668,32600,66
67,27485.666666666668,32600,67
68,27953.333333333332,32600,68
69,28161.666666666668,32600,69
70,28444.666666666668,32000,70
71,28630.0,32000,71
72,28788.333333333332,31500,72
73,28888.333333333332,31500,73
74,29157.0,31500,74
75,29410.666666666668,31640,75
76,29725.333333333332,34040,76
77,30110.0,33140,77
78,30528.333333333332,33140,78
79,30846.0,34360,79
80,31152.333333333332,34440,80
81,31463.666666666668,34440,81
82,31845.0,35600,82
83,32281.666666666668,35600,83
84,32545.0,34500,84
85,32797.333333333336,37100,85
86,32980.666666666664,37100,86
87,33344.0,37100,87
88,33490.666666666664,38000,88
89,33713.333333333336,38000,89
90,33900.0,36520,90
91,34151.333333333336,37340,91
92,34464.333333333336,37680,92
93,34697.0,37680,93
94,34957.0,37680,94
95,35069.666666666664,37680,95
96,35425.0,39220,96
97,35868.0,39640,97
98,36320.333333333336,40520,98
99,36514.666666666664,40520,99
100,36929.0,40520,100
101,37315.333333333336,40520,101
102,37875.333333333336,41740,102
103,38178.0,41740,103
104,38379.666666666664,41740,104
105,38686.666666666664,41740,105
106,39006.0,41740,106
107,39279.666666666664,42600,107
108,39714.333333333336,42600,108
109,40032.0,42860,109
110,40298.333333333336,42860,110
111,40504.333333333336,42860,111
112,40625.666666666664,42860,112
113,40967.333333333336,43020,113
114,41082.333333333336,43020,114
115,41229.333333333336,43020,115
116,41412.333333333336,43320,116
117,41450.333333333336,43320,117
118,41636.0,43320,118
119,41778.333333333336,43600,119
120,41916.666666666664,43680,120
121,41928.0,43680,121
122,42145.666666666664,43680,122
123,42161.333333333336,43680,123
124,42263.0,43680,124
125,42260.666666666664,44200,125
126,42261.666666666664,43380,126
127,42296.0,43640,127
128,42368.333333333336,43640,128
129,42417.0,43640,129
130,42491.0,43640,130
131,42498.333333333336,43640,131
132,42542.666666666664,44240,132
133,42618.333333333336,44240,133
134,42606.0,44240,134
135,42674.666666666664,44240,135
136,42724.0,44240,136
137,42856.333333333336,44240,137
138,42950.333333333336,44340,138
139,42983.333333333336,44340,139
140,43032.333333333336,44240,140
141,43091.333333333336,44240,141
142,43113.666666666664,44240,142
143,43100.333333333336,44240,143
144,43109.666666666664,44240,144
145,43141.333333333336,44240,145
146,43102.333333333336,44100,146
147,43145.0,44200,147
148,43250.333333333336,44740,148
149,43240.0,44200,149
